flight,takeoff,ori_latitude,ori_longitude,landing,des_latitude,des_longitude
AHK572,MY,3.140853,101.693106,HK,22.319304,114.169361
AIQ321,TH,13.756331,100.501765,MY,3.140853,101.693106
AIQ322,MY,3.140853,101.693106,TH,13.756331,100.501765
AIQ323,TH,13.756331,100.501765,MY,3.140853,101.693106
AIQ324,MY,3.140853,101.693106,TH,13.756331,100.501765
AIQ510,TH,13.756331,100.501765,MY,3.140853,101.693106
AIQ511,MY,3.140853,101.693106,TH,13.756331,100.501765
AXM1720,SG,1.352083,103.819836,MY,3.140853,101.693106
AXM1722,SG,1.352083,103.819836,MY,3.140853,101.693106
AXM1723,MY,3.140853,101.693106,SG,1.352083,103.819836
AXM1725,MY,3.140853,101.693106,SG,1.352083,103.819836
AXM4104,MY,3.140853,101.693106,MY,3.140853,101.693106
AXM703,MY,3.140853,101.693106,SG,1.352083,103.819836
CAL6866,MY,3.140853,101.693106,TW,25.032969,121.565418
CAL731,TW,25.032969,121.565418,MY,3.140853,101.693106
CPA622,MY,3.140853,101.693106,HK,22.319304,114.169361
CPA730,MY,3.140853,101.693106,HK,22.319304,114.169361
CSN8335,BN,4.903163,114.939821,MY,3.140853,101.693106
CSZ335,CN,39.904211,116.407395,MY,3.140853,101.693106
CXA824,MY,3.140853,101.693106,CN,39.904211,116.407395
CXA848,MY,3.140853,101.693106,CN,39.904211,116.407395
CXA8705,CN,39.904211,116.407395,MY,3.140853,101.693106
EVA6069,SG,1.352083,103.819836,MY,3.140853,101.693106
EVA6070,MY,3.140853,101.693106,TW,25.032969,121.565418
FDB1603,AE,24.453884,54.377344,MY,3.140853,101.693106
FDX5860,SG,1.352083,103.819836,MY,3.140853,101.693106
FDX6091,MY,3.140853,101.693106,TH,13.756331,100.501765
FFM3122,MY,3.140853,101.693106,SG,1.352083,103.819836
FFM3124,MY,3.140853,101.693106,SG,1.352083,103.819836
FFM3128,MY,3.140853,101.693106,SG,1.352083,103.819836
FFM3130,MY,3.140853,101.693106,SG,1.352083,103.819836
FFM3131,SG,1.352083,103.819836,MY,3.140853,101.693106
FFM3132,MY,3.140853,101.693106,SG,1.352083,103.819836
FFM3621,TH,13.756331,100.501765,MY,3.140853,101.693106
FFM6346,MY,3.140853,101.693106,MY,3.140853,101.693106
MAS141,MY,3.140853,101.693106,AU,-35.280937,149.130005
MAS174,MY,3.140853,101.693106,IN,28.613939,77.209021
MAS181,IN,28.613939,77.209021,MY,3.140853,101.693106
MAS197,BD,23.810332,90.412521,MY,3.140853,101.693106
MAS2,MY,3.140853,101.693106,GB,51.507351,-0.127758
MAS609,MY,3.140853,101.693106,SG,1.352083,103.819836
MAS704,MY,3.140853,101.693106,PH,14.599512,120.98422
MAS762,MY,3.140853,101.693106,KH,11.556285,104.920083
MAS806,MY,3.140853,101.693106,PH,14.599512,120.98422
MXD151,MY,3.140853,101.693106,AU,-35.280937,149.130005
MXD156,AU,-35.280937,149.130005,MY,3.140853,101.693106
MXD157,MY,3.140853,101.693106,AU,-35.280937,149.130005
MXD175,MY,3.140853,101.693106,AU,-35.280937,149.130005
MXD356,MY,3.140853,101.693106,ID,-6.208763,106.845599
MXD522,MY,3.140853,101.693106,TH,13.756331,100.501765
MXD524,MY,3.140853,101.693106,TH,13.756331,100.501765
MXD526,MY,3.140853,101.693106,TH,13.756331,100.501765
MXD530,MY,3.140853,101.693106,TH,13.756331,100.501765
MXD531,TH,13.756331,100.501765,MY,3.140853,101.693106
N204DD,TH,13.756331,100.501765,MY,3.140853,101.693106
OMA824,MY,3.140853,101.693106,OM,23.58589,58.603099
PAL527,PH,14.599512,120.98422,MY,3.140853,101.693106
PAL528,MY,3.140853,101.693106,PH,14.599512,120.98422
RBA827,BN,4.903163,114.939821,MY,3.140853,101.693106
RBA872,MY,3.140853,101.693106,BN,4.903163,114.939821
RMY3507,MY,3.140853,101.693106,HK,22.319304,114.169361
SIA103,MY,3.140853,101.693106,SG,1.352083,103.819836
SIA105,MY,3.140853,101.693106,SG,1.352083,103.819836
SIA127,MY,3.140853,101.693106,SG,1.352083,103.819836
SIA132,SG,1.352083,103.819836,MY,3.140853,101.693106
SIA136,SG,1.352083,103.819836,MY,3.140853,101.693106
SIA138,SG,1.352083,103.819836,MY,3.140853,101.693106
SIA142,SG,1.352083,103.819836,MY,3.140853,101.693106
TGW424,SG,1.352083,103.819836,MY,3.140853,101.693106
TGW425,MY,3.140853,101.693106,SG,1.352083,103.819836
THA426,MY,3.140853,101.693106,TH,13.756331,100.501765
TLM133,MY,3.140853,101.693106,TH,13.756331,100.501765
UAE2L,MY,3.140853,101.693106,AE,24.453884,54.377344
UAE8Y,MY,3.140853,101.693106,AE,24.453884,54.377344
UBG316,MY,3.140853,101.693106,BD,23.810332,90.412521
